series,date,sector,value
abs,2021-01-01,p1.1.5,5361
abs,2021-01-01,p1.1.6,6021
abs,2021-01-01,p1.1.7,1152
abs,2021-01-01,p1.2,19118
abs,2021-01-01,p1.2.1,12352
abs,2021-01-01,p1.2.2,1565
abs,2021-01-01,p1.2.3,5201
abs,2021-01-01,p1.3,6615
abs,2021-01-01,p1.4,12274
abs,2021-01-01,p1.4.1,7458
abs,2021-01-01,p1.4.2,4816
abs,2021-01-01,p2,124355
abs,2021-01-01,p2.1,55325
abs,2021-01-01,p2.2,59834
abs,2021-01-01,p2.3,9195
abs,2021-01-01,p3,361826
abs,2021-01-01,p3.1,47321
abs,2021-01-01,p3.1.1,16070
abs,2021-01-01,p3.1.2,23335
abs,2021-01-01,p3.1.3,5103
abs,2021-01-01,p3.1.4,2813
abs,2021-01-01,p3.2,5918
abs,2021-01-01,p3.2.1,5078
abs,2021-01-01,p3.2.2,840
abs,2021-01-01,p3.3,17768
